book_title,male_characters,male_characters_names,female_characters,female_characters_names,none,unknown_gender_names,authors_sex
1879_coleridge-the-constant-prince,33,"['john', 'pereira', 'christian', 'moors', 'paolo', 'hassan', 'aragon', 'moor', 'jussuf', 'saviour', 'manoel', 'selim', 'moussa', 'edward', 'christians', 'dom enrique', 'dom fernando', 'dom jose', 'sir walter', 'dom alvarez', 'brother martin', 'harry hartsed', 'saint george', 'king harry', 'walter northberry', 'grand master', 'dom joao', 'dom francisco', 'moussa ben hadad', 'senor dom alvarez', 'northberry manor', 'king duarte', 'dom pedro']",25,"['zala', 'nell', 'catalina', 'ayesha', 'nella', 'eleanor', 'kate', 'fez', 'avis', 'tangier', 'granada', 'barbary', 'adela', 'zarah', 'leila', 'katharine', 'dona blanca', 'princess hinda', 'dame agnes', 'queen leonora', 'eleanor northberry', 'english queen', 'queen leonor', 'nella northberry', 'queen philippa']",15,"['viseo', 'christendom', 'ceuta', 'arzella', 'lazurac', 'lisbon', 'pope', 'majorcan', 'castile', 'psalms', 'sagres', 'saccavem', 'mussulman', 'batalha', 'young hartsed']",female

1879_ewing-jackanapes-daddy-darwins-dovecot-and-other-stories,1,['niss'],1,['winter'],1,['kyrkegrim'],female

1879_molesworth-the-tapestry-room-a-childs-romance,1,['hugh'],5,"['dudu', 'charlotte', 'marcelline', 'mademoiselle eliane', 'mademoiselle jeanne']",5,"['mademoiselle', 'mesdemoiselles', 'houpet', 'madame', 'barbarie']",female

1880_burnett-louisiana,9,"['leander', 'laurence', 'uncle steve', 'uncle josiah', 'north caliny', 'mr rogers', 'uncle elbert rogers', 'laurence ferrol', 'uncle elbert']",8,"['olivia', 'nancy', 'louise', 'jenny', 'olivia ferrol', 'aunt amanda', 'miss rogers', 'aunt caline']",4,"['ruskin', 'casey', 'frankoyse', 'louisianny']",female

1880_meade-mou-sete-a-negro-hero,4,"['joseph', 'mou', 'hans', 'mou setse']",1,['toni'],4,"['nanny', 'korowah', 'yarriba', 'eyeo']",female

1880_molesworth-a-christmas-child-a-sketch-of-a-boy-life,12,"['david', 'rex', 'cis', 'jim', 'abel', 'jamie', 'percy', 'teddy', 'jack', 'mab', 'mr newton', 'uncle ted']",8,"['gertrude', 'polly', 'jill', 'narcissa', 'mabel', 'esther', 'poor ted', 'miss cissy']",5,"['hatchard', 'chevie', 'dod', 'cheviott', 'beast']",female

1882_delaramee-bimbi,28,"['berengario', 'urbino', 'berg', 'raffaelle', 'katte', 'blasius', 'luca', 'albrecht', 'waldo', 'christof', 'hofer', 'stefan', 'timoteo', 'maestro benedetto ronconi', 'maestro benedetto', 'august strehla', 'castel durante', 'messer benedetto', 'augustin hirschvogel', 'don giorgio', 'signor benedetto', 'ser benedetto', 'kaiser max', 'signor giovanni', 'karl strehla', 'messer giovanni', 'maestro giorgio', 'giovanni sanzio']",14,"['vienna', 'dorothea', 'esther', 'rosa', 'zirl', 'leoni', 'louise', 'madonna', 'santa claus', 'poor pacifica', 'rosa damascena', 'signer benedetto', 'rosa indica', 'rose madder']",32,"['theodoric', 'marienplatz', 'waldmar', 'banksiae', 'pesaro', 'sevres', 'arlberg', 'banksia', 'ermengilda', 'devoniensis', 'savoie', 'rudolfplatz', 'sprugg', 'jenbach', 'haarlem', 'castello', 'montefeltro', 'guidobaldo', 'faenza', 'niphetos', 'findelkind', 'sonnstein', 'rosenheim', 'gubbio', 'nurnberg', 'munich', 'meissen', 'danube', 'martinswand', 'lampblack', 'old world', 'messer ronconi']",female

1882_ewing-brothers-of-pity-and-other-tales-of-beasts-and-men,11,"['john', 'watson', 'ted', 'terence', 'christian', 'fox', 'jemmy', 'cock robin', 'jeremy taylor', 'black basil', 'tinker george']",3,"['gertrude', 'sybil', 'sybil stanley']",5,"['nipper', 'carbery', 'coed', 'diggory', 'godfather gilpin']",female

1882_meade-a-london-baby-the-story-of-king-roy,6,"['charlie', 'davis', 'roy', 'davie', 'lord jesus christ', 'ten pounds reward']",8,"['hannah', 'faith', 'meg', 'faithy', 'mrs mason', 'mrs martin', 'meg harris', 'hannah searles']",1,['warden'],female

